T96060000001	1A03_HUMAN
T96060015213	LRP11_HUMAN
T96060015214	LRP12_HUMAN
T96060015215	LRP1B_HUMAN
T96060015216	LRP1B_HUMAN
T96060015217	LRP3_HUMAN
T96060015218	LRP3_HUMAN
T96060015219	LRP3_HUMAN
T96060015220	LRP4_HUMAN
T96060015221	LRP5L_HUMAN
T96060015222	LRP5L_HUMAN
T96060015223	LRP5L_HUMAN
T96060015224	LRR3C_HUMAN
T96060015225	LRR3C_HUMAN
T96060015226	LRR3C_HUMAN
T96060015227	LRR70_HUMAN
T96060015228	LRR70_HUMAN
T96060015229	LRR70_HUMAN
T96060015230	LRRC1_HUMAN
T96060015231	LRRC1_HUMAN
T96060015232	LRRC2_HUMAN
T96060015233	LRRC2_HUMAN
T96060015234	LRRC2_HUMAN
T96060015235	LRRC3_HUMAN
T96060015236	LRRC3_HUMAN
T96060015237	LRRC3_HUMAN
T96060015238	LRRC4_HUMAN
T96060015239	LRRC4_HUMAN
T96060015240	LRRC4_HUMAN
T96060015241	LRRC7_HUMAN
T96060015242	LRRC7_HUMAN
T96060015243	LRRC7_HUMAN
T96060015244	LRRC9_HUMAN
T96060015245	LRRC9_HUMAN
T96060015246	LRRC9_HUMAN
T96060015247	LRRD1_HUMAN
T96060015248	LRRD1_HUMAN
T96060015249	LRRD1_HUMAN
T96060015250	LRRF2_HUMAN
T96060015251	LRRF2_HUMAN
T96060015252	LRRN1_HUMAN
T96060015253	LRRN1_HUMAN
T96060015254	LRRN1_HUMAN
T96060015255	LRRN2_HUMAN
T96060015256	LRRN2_HUMAN
T96060015257	LRRN2_HUMAN
T96060015258	LRRN3_HUMAN
T96060015259	LRRN3_HUMAN
T96060015260	LRRN3_HUMAN
T96060015261	LRRN4_HUMAN
T96060015262	LRRN4_HUMAN
T96060015263	LRRT1_HUMAN
T96060015264	LRRT1_HUMAN
T96060015265	LRRT2_HUMAN
T96060015266	LRRT2_HUMAN
T96060015267	LRRT3_HUMAN
T96060015268	LRRT4_HUMAN
T96060015269	LRRT4_HUMAN
T96060015270	LRRT4_HUMAN
T96060015271	LRTM1_HUMAN
T96060015272	LRTM1_HUMAN
T96060015273	LRTM1_HUMAN
T96060015274	LRTM2_HUMAN
T96060015275	LRTM2_HUMAN
T96060015276	LRTM2_HUMAN
T96060015277	LS14B_HUMAN
T96060015278	LS14B_HUMAN
T96060015279	LSAMP_HUMAN
T96060015280	LSAMP_HUMAN
T96060015281	LSHB_HUMAN
T96060015282	LSHB_HUMAN
T96060015283	LSHB_HUMAN
T96060015284	LSM12_HUMAN
T96060015285	LSM12_HUMAN
T96060015286	LSM12_HUMAN
T96060015287	LSM5_HUMAN
T96060015288	LSM7_HUMAN
T96060015289	LSMD1_HUMAN
T96060015290	LSME1_HUMAN
T96060015291	LSME1_HUMAN
T96060015292	LSME2_HUMAN
T96060015293	LSME2_HUMAN
T96060015294	LSME2_HUMAN
T96060015295	LSP1_HUMAN
T96060015296	LSP1_HUMAN
T96060015297	LSR_HUMAN
T96060015298	LSR_HUMAN
T96060015299	LST1_HUMAN
T96060015300	LT4R1_HUMAN
T96060015301	LT4R1_HUMAN
T96060015302	LT4R1_HUMAN
T96060015303	LT4R2_HUMAN
T96060015304	LT4R2_HUMAN
T96060015305	LTMD1_HUMAN
T96060015306	LTMD1_HUMAN
T96060015307	LTN1_HUMAN
T96060015308	LTN1_HUMAN
T96060015309	LTN1_HUMAN
T96060015310	LTO1_HUMAN
T96060015311	LTO1_HUMAN
T96060015312	LTOR2_HUMAN
T96060015313	LTOR3_HUMAN
T96060015314	LTOR4_HUMAN
T96060015315	LTOR5_HUMAN
T96060015316	LTV1_HUMAN
T96060015317	LTV1_HUMAN
T96060015318	LUC7L_HUMAN
T96060015319	LUC7L_HUMAN
T96060015320	LUM_HUMAN
T96060015321	LUR1L_HUMAN
T96060015322	LUR1L_HUMAN
T96060015323	LUR1L_HUMAN
T96060015324	LURA1_HUMAN
T96060015325	LUZP1_HUMAN
T96060015326	LUZP1_HUMAN
T96060015327	LUZP2_HUMAN
T96060015328	LUZP2_HUMAN
T96060015329	LUZP2_HUMAN
T96060015330	LUZP4_HUMAN
T96060015331	LUZP4_HUMAN
T96060015332	LUZP4_HUMAN
T96060015333	LUZP6_HUMAN
T96060015334	LUZP6_HUMAN
T96060015335	LUZP6_HUMAN
T96060015336	LV136_HUMAN
T96060015337	LV136_HUMAN
T96060015338	LV136_HUMAN
T96060015339	LV140_HUMAN
T96060015340	LV140_HUMAN
T96060015341	LV140_HUMAN
T96060015342	LV144_HUMAN
T96060015343	LV144_HUMAN
T96060015344	LV144_HUMAN
T96060015345	LV147_HUMAN
T96060015346	LV147_HUMAN
T96060015347	LV151_HUMAN
T96060015348	LV151_HUMAN
T96060015349	LV208_HUMAN
T96060015350	LV208_HUMAN
T96060015351	LV208_HUMAN
T96060015352	LV211_HUMAN
T96060015353	LV211_HUMAN
T96060015354	LV211_HUMAN
T96060015355	LV214_HUMAN
T96060015356	LV214_HUMAN
T96060015357	LV218_HUMAN
T96060015358	LV218_HUMAN
T96060015359	LV218_HUMAN
T96060015360	LV223_HUMAN
T96060015361	LV223_HUMAN
T96060015362	LV223_HUMAN
T96060015363	LV301_HUMAN
T96060015364	LV301_HUMAN
T96060015365	LV301_HUMAN
T96060015366	LV310_HUMAN
T96060015367	LV310_HUMAN
T96060015368	LV310_HUMAN
T96060015369	LV312_HUMAN
T96060015370	LV312_HUMAN
T96060015371	LV312_HUMAN
T96060015372	LV316_HUMAN
T96060015373	LV316_HUMAN
T96060015374	LV316_HUMAN
T96060015375	LV319_HUMAN
T96060015376	LV319_HUMAN
T96060015377	LV321_HUMAN
T96060015378	LV321_HUMAN
T96060015379	LV322_HUMAN
T96060015380	LV322_HUMAN
T96060015381	LV322_HUMAN
T96060015382	LV325_HUMAN
T96060015383	LV325_HUMAN
T96060015384	LV327_HUMAN
T96060015385	LV327_HUMAN
T96060015386	LV327_HUMAN
T96060015387	LV39_HUMAN
T96060015388	LV39_HUMAN
T96060015389	LV39_HUMAN
T96060015390	LV403_HUMAN
T96060015391	LV403_HUMAN
T96060015392	LV403_HUMAN
T96060015393	LV460_HUMAN
T96060015394	LV460_HUMAN
T96060015395	LV460_HUMAN
T96060015396	LV469_HUMAN
T96060015397	LV469_HUMAN
T96060015398	LV469_HUMAN
T96060015399	LV537_HUMAN
T96060015400	LV537_HUMAN
T96060015401	LV537_HUMAN
T96060015402	LV539_HUMAN
T96060015403	LV539_HUMAN
T96060015404	LV539_HUMAN
T96060015405	LV545_HUMAN
T96060015406	LV545_HUMAN
T96060015407	LV545_HUMAN
T96060015408	LV552_HUMAN
T96060015409	LV552_HUMAN
T96060015410	LV552_HUMAN
T96060015411	LV657_HUMAN
T96060015412	LV657_HUMAN
T96060015413	LV657_HUMAN
T96060015414	LV743_HUMAN
T96060015415	LV743_HUMAN
T96060015416	LV743_HUMAN
T96060015417	LV746_HUMAN
T96060015418	LV746_HUMAN
T96060015419	LV746_HUMAN
T96060015420	LV861_HUMAN
T96060015421	LV861_HUMAN
T96060015422	LV861_HUMAN
T96060015423	LV949_HUMAN
T96060015424	LV949_HUMAN
T96060015425	LV949_HUMAN
T96060015426	LVX54_HUMAN
T96060015427	LVX54_HUMAN
T96060015428	LVX54_HUMAN
T96060015429	LX12B_HUMAN
T96060015430	LXN_HUMAN
T96060015431	LXN_HUMAN
T96060015432	LXN_HUMAN
T96060015433	LY66F_HUMAN
T96060015434	LY66F_HUMAN
T96060015435	LY66F_HUMAN
T96060015436	LY6D_HUMAN
T96060015437	LY6D_HUMAN
T96060015438	LY6D_HUMAN
T96060015439	LY6E_HUMAN
T96060015440	LY6E_HUMAN
T96060015441	LY6E_HUMAN
T96060015442	LY6H_HUMAN
T96060015443	LY6H_HUMAN
T96060015444	LY6H_HUMAN
T96060015445	LY6K_HUMAN
T96060015446	LY6K_HUMAN
T96060015447	LY6K_HUMAN
T96060015448	LY6L_HUMAN
T96060015449	LY6L_HUMAN
T96060015450	LY6L_HUMAN
T96060015451	LY75_HUMAN
T96060015452	LY75_HUMAN
T96060015453	LY86_HUMAN
T96060015454	LY86_HUMAN
T96060015455	LY9_HUMAN
T96060015456	LYG1_HUMAN
T96060015457	LYG1_HUMAN
T96060015458	LYG1_HUMAN
T96060015459	LYL1_HUMAN
T96060015460	LYNX1_HUMAN
T96060015461	LYOX_HUMAN
T96060015462	LYOX_HUMAN
T96060015463	LYOX_HUMAN
T96060015464	LYPA1_HUMAN
T96060015465	LYPD1_HUMAN
T96060015466	LYPD1_HUMAN
T96060015467	LYPD1_HUMAN
T96060015468	LYPD2_HUMAN
T96060015469	LYPD2_HUMAN
T96060015470	LYPD2_HUMAN
T96060015471	LYPD3_HUMAN
T96060015472	LYPD3_HUMAN
T96060015473	LYPD4_HUMAN
T96060015474	LYPD4_HUMAN
T96060015475	LYPD4_HUMAN
T96060015476	LYPD5_HUMAN
T96060015477	LYPD5_HUMAN
T96060015478	LYPD5_HUMAN
T96060015479	LYPD6_HUMAN
T96060015480	LYPD6_HUMAN
T96060015481	LYPD8_HUMAN
T96060015482	LYPD8_HUMAN
T96060015483	LYPD8_HUMAN
T96060015484	LYPL1_HUMAN
T96060015485	LYPL1_HUMAN
T96060015486	LYRM1_HUMAN
T96060015487	LYRM1_HUMAN
T96060015488	LYRM2_HUMAN
T96060015489	LYRM2_HUMAN
T96060015490	LYRM2_HUMAN
T96060015491	LYRM4_HUMAN
T96060015492	LYRM4_HUMAN
T96060015493	LYRM7_HUMAN
T96060015494	LYRM9_HUMAN
T96060015495	LYRM9_HUMAN
T96060015496	LYRM9_HUMAN
T96060015497	LYSM1_HUMAN
T96060015498	LYSM1_HUMAN
T96060015499	LYSM2_HUMAN
T96060015500	LYSM2_HUMAN
T96060015501	LYSM2_HUMAN
T96060015502	LYSM3_HUMAN
T96060015503	LYSM3_HUMAN
T96060015504	LYSM3_HUMAN
T96060015505	LYSM4_HUMAN
T96060015506	LYSM4_HUMAN
T96060015507	LYSM4_HUMAN
T96060015508	LYST_HUMAN
T96060015509	LYVE1_HUMAN
T96060015510	LYVE1_HUMAN
T96060015511	LYZL1_HUMAN
T96060015512	LYZL1_HUMAN
T96060015513	LYZL1_HUMAN
T96060015514	LYZL2_HUMAN
T96060015515	LYZL2_HUMAN
T96060015516	LYZL2_HUMAN
T96060015517	LYZL4_HUMAN
T96060015518	LYZL4_HUMAN
T96060015519	LYZL5_HUMAN
T96060015520	LYZL5_HUMAN
T96060015521	LYZL5_HUMAN
T96060015522	LYZL6_HUMAN
T96060015523	LZIC_HUMAN
T96060015524	LZIC_HUMAN
T96060015525	LZIC_HUMAN
T96060015526	LZTR1_HUMAN
T96060015527	LZTR1_HUMAN
T96060015528	LZTS1_HUMAN
T96060015529	LZTS1_HUMAN
T96060015530	LZTS2_HUMAN
T96060015531	LZTS2_HUMAN
T96060015532	LZTS3_HUMAN
T96060015533	LZTS3_HUMAN
T96060015534	LZTS3_HUMAN
T96060015535	M10L1_HUMAN
T96060015536	M10L1_HUMAN
T96060015537	M14OS_HUMAN
T96060015538	M14OS_HUMAN
T96060015539	M14OS_HUMAN
T96060015540	M17L2_HUMAN
T96060015541	M18BP_HUMAN
T96060015542	M18BP_HUMAN
T96060015543	M18BP_HUMAN
T96060015544	M1AP_HUMAN
T96060015545	M1AP_HUMAN
T96060015546	M1BL1_HUMAN
T96060015547	M1BL1_HUMAN
T96060015548	M1BL1_HUMAN
T96060015549	M1IP1_HUMAN
T96060015550	M1IP1_HUMAN
T96060015551	M1IP1_HUMAN
T96060015552	M21D2_HUMAN
T96060015553	M21D2_HUMAN
T96060015554	M2OM_HUMAN
T96060015555	M3K12_HUMAN
T96060015556	M3K15_HUMAN
T96060015557	M3K15_HUMAN
T96060015558	M3K15_HUMAN
T96060015559	M3K19_HUMAN
T96060015560	M3K19_HUMAN
T96060015561	M3K19_HUMAN
T96060015562	M3K1_HUMAN
T96060015563	M3K21_HUMAN
T96060015564	M3K21_HUMAN
T96060015565	M3K21_HUMAN
T96060015566	M3K3_HUMAN
T96060015567	M3K6_HUMAN
T96060015568	M3K8_HUMAN
T96060015569	M3K8_HUMAN
T96060015570	M3K9_HUMAN
T96060015571	M3KCL_HUMAN
T96060015572	M3KCL_HUMAN
T96060015573	M4A10_HUMAN
T96060015574	M4A10_HUMAN
T96060015575	M4A10_HUMAN
T96060015576	M4A12_HUMAN
T96060015577	M4A12_HUMAN
T96060015578	M4A12_HUMAN
T96060015579	M4A13_HUMAN
T96060015580	M4A13_HUMAN
T96060015581	M4A13_HUMAN
T96060015582	M4A14_HUMAN
T96060015583	M4A14_HUMAN
T96060015584	M4A14_HUMAN
T96060015585	M4A15_HUMAN
T96060015586	M4A15_HUMAN
T96060015587	M4A15_HUMAN
T96060015588	M4A18_HUMAN
T96060015589	M4A18_HUMAN
T96060015590	M4A18_HUMAN
T96060015591	M4A4A_HUMAN
T96060015592	M4A4A_HUMAN
T96060015593	M4A4A_HUMAN
T96060015594	M4A4E_HUMAN
T96060015595	M4A4E_HUMAN
T96060015596	M4A4E_HUMAN
T96060015597	M4A6A_HUMAN
T96060015598	M4A6A_HUMAN
T96060015599	M4A6A_HUMAN
T96060015600	M4A6E_HUMAN
T96060015601	M4A6E_HUMAN
T96060015602	M4A6E_HUMAN
T96060015603	M4A8_HUMAN
T96060015604	M4A8_HUMAN
T96060015605	M4A8_HUMAN
T96060015606	M4K2_HUMAN
T96060015607	M4K3_HUMAN
T96060015608	MA13P_HUMAN
T96060015609	MA13P_HUMAN
T96060015610	MA13P_HUMAN
T96060015611	MA1A1_HUMAN
T96060015612	MA1A1_HUMAN
T96060015613	MA1A2_HUMAN
T96060015614	MA1A2_HUMAN
T96060015615	MA1C1_HUMAN
T96060015616	MA1C1_HUMAN
T96060015617	MA2A1_HUMAN
T96060015618	MA2A1_HUMAN
T96060015619	MA2A2_HUMAN
T96060015620	MA2A2_HUMAN
T96060015621	MA2A2_HUMAN
T96060015622	MA2B1_HUMAN
T96060015623	MA2B2_HUMAN
T96060015624	MA2B2_HUMAN
T96060015625	MA2C1_HUMAN
T96060015626	MA2C1_HUMAN
T96060015627	MA6D1_HUMAN
T96060015628	MA6D1_HUMAN
T96060015629	MA6D1_HUMAN
T96060015630	MA7D1_HUMAN
T96060015631	MA7D1_HUMAN
T96060015632	MA7D2_HUMAN
T96060015633	MA7D2_HUMAN
T96060015634	MA7D2_HUMAN
T96060015635	MAAI_HUMAN
T96060015636	MAAS1_HUMAN
T96060015637	MAAS1_HUMAN
T96060015638	MAAS1_HUMAN
T96060015639	MABP1_HUMAN
T96060015640	MACOI_HUMAN
T96060015641	MAD3_HUMAN
T96060015642	MAD3_HUMAN
T96060015643	MAD3_HUMAN
T96060015644	MAD4_HUMAN
T96060015645	MAD4_HUMAN
T96060015646	MAD4_HUMAN
T96060015647	MADCA_HUMAN
T96060015648	MADL2_HUMAN
T96060015649	MADL2_HUMAN
T96060015650	MAEL_HUMAN
T96060015651	MAEL_HUMAN
T96060015652	MAEL_HUMAN
T96060015653	MAFB_HUMAN
T96060015654	MAFG_HUMAN
T96060015655	MAFG_HUMAN
T96060015656	MAFG_HUMAN
T96060015657	MAFIP_HUMAN
T96060015658	MAFIP_HUMAN
T96060015659	MAFIP_HUMAN
T96060015660	MAF_HUMAN
T96060015661	MAF_HUMAN
T96060015662	MAF_HUMAN
T96060015663	MAGA4_HUMAN
T96060015664	MAGA4_HUMAN
T96060015665	MAGA4_HUMAN
T96060015666	MAGA5_HUMAN
T96060015667	MAGA5_HUMAN
T96060015668	MAGA6_HUMAN
T96060015669	MAGA6_HUMAN
T96060015670	MAGA6_HUMAN
T96060015671	MAGA8_HUMAN
T96060015672	MAGA8_HUMAN
T96060015673	MAGA8_HUMAN
T96060015674	MAGA9_HUMAN
T96060015675	MAGA9_HUMAN
T96060015676	MAGA9_HUMAN
T96060015677	MAGAA_HUMAN
T96060015678	MAGAA_HUMAN
T96060015679	MAGAB_HUMAN
T96060015680	MAGAB_HUMAN
T96060015681	MAGAC_HUMAN
T96060015682	MAGAC_HUMAN
T96060015683	MAGAC_HUMAN
T96060015684	MAGB1_HUMAN
T96060015685	MAGB1_HUMAN
T96060015686	MAGB1_HUMAN
T96060015687	MAGB2_HUMAN
T96060015688	MAGB2_HUMAN
T96060015689	MAGB2_HUMAN
T96060015690	MAGB3_HUMAN
T96060015691	MAGB3_HUMAN
T96060015692	MAGB3_HUMAN
T96060015693	MAGB4_HUMAN
T96060015694	MAGB4_HUMAN
T96060015695	MAGB4_HUMAN
T96060015696	MAGB5_HUMAN
T96060015697	MAGB5_HUMAN
T96060015698	MAGB5_HUMAN
T96060015699	MAGB6_HUMAN
T96060015700	MAGB6_HUMAN
T96060015701	MAGB6_HUMAN
T96060015702	MAGBA_HUMAN
T96060015703	MAGBA_HUMAN
T96060015704	MAGBA_HUMAN
T96060015705	MAGBG_HUMAN
T96060015706	MAGBG_HUMAN
T96060015707	MAGBG_HUMAN
T96060015708	MAGBH_HUMAN
T96060015709	MAGBH_HUMAN
T96060015710	MAGBH_HUMAN
T96060015711	MAGBI_HUMAN
T96060015712	MAGBI_HUMAN
T96060015713	MAGBI_HUMAN
T96060015714	MAGC1_HUMAN
T96060015715	MAGC1_HUMAN
T96060015716	MAGC1_HUMAN
T96060015717	MAGC3_HUMAN
T96060015718	MAGC3_HUMAN
T96060015719	MAGC3_HUMAN
T96060015720	MAGD2_HUMAN
T96060015721	MAGD4_HUMAN
T96060015722	MAGD4_HUMAN
T96060015723	MAGD4_HUMAN
T96060015724	MAGE1_HUMAN
T96060015725	MAGE1_HUMAN
T96060015726	MAGE1_HUMAN
T96060015727	MAGE2_HUMAN
T96060015728	MAGE2_HUMAN
T96060015729	MAGE2_HUMAN
T96060015730	MAGF1_HUMAN
T96060015731	MAGF1_HUMAN
T96060015732	MAGH1_HUMAN
T96060015733	MAGH1_HUMAN
T96060015734	MAGH1_HUMAN
T96060015735	MAGI1_HUMAN
T96060015736	MAGI3_HUMAN
T96060015737	MAGI3_HUMAN
T96060015738	MAGIX_HUMAN
T96060015739	MAGIX_HUMAN
T96060015740	MAGIX_HUMAN
T96060015741	MAG_HUMAN
T96060015742	MAIP1_HUMAN
T96060015743	MAJIN_HUMAN
T96060015744	MAJIN_HUMAN
T96060015745	MAJIN_HUMAN
T96060015746	MAK16_HUMAN
T96060015747	MAL2_HUMAN
T96060015748	MAL2_HUMAN
T96060015749	MALD1_HUMAN
T96060015750	MALD1_HUMAN
T96060015751	MALD1_HUMAN
T96060015752	MALD2_HUMAN
T96060015753	MALL_HUMAN
T96060015754	MALL_HUMAN
T96060015755	MALR1_HUMAN
T96060015756	MALR1_HUMAN
T96060015757	MAL_HUMAN
T96060015758	MAMC2_HUMAN
T96060015759	MAMC2_HUMAN
T96060015760	MAMD1_HUMAN
T96060015761	MAN1_HUMAN
T96060015762	MANBA_HUMAN
T96060015763	MANBA_HUMAN
T96060015764	MANBL_HUMAN
T96060015765	MANBL_HUMAN
T96060015766	MANBL_HUMAN
T96060015767	MANEA_HUMAN
T96060015768	MANEA_HUMAN
T96060015769	MANEL_HUMAN
T96060015770	MANEL_HUMAN
T96060015771	MANEL_HUMAN
T96060015772	MANS1_HUMAN
T96060015773	MANS1_HUMAN
T96060015774	MANS1_HUMAN
T96060015775	MANS4_HUMAN
T96060015776	MANS4_HUMAN
T96060015777	MANS4_HUMAN
T96060015778	MAON_HUMAN
T96060015779	MAOX_HUMAN
T96060015780	MAP11_HUMAN
T96060015781	MAP11_HUMAN
T96060015782	MAP12_HUMAN
T96060015783	MAP12_HUMAN
T96060015784	MAP1A_HUMAN
T96060015785	MAP1A_HUMAN
T96060015786	MAP1A_HUMAN
T96060015787	MAP1B_HUMAN
T96060015788	MAP6_HUMAN
T96060015789	MAP7_HUMAN
T96060015790	MAP7_HUMAN
T96060015791	MAR1_HUMAN
T96060015792	MAR1_HUMAN
T96060015793	MARCO_HUMAN
T96060015794	MARCO_HUMAN
T96060015795	MARCS_HUMAN
T96060015796	MARCS_HUMAN
T96060015797	MARE2_HUMAN
T96060015798	MARF1_HUMAN
T96060015799	MARH3_HUMAN
T96060015800	MARH3_HUMAN
T96060015801	MARH4_HUMAN
T96060015802	MARH9_HUMAN
T96060015803	MARH9_HUMAN
T96060015804	MARHA_HUMAN
T96060015805	MARHA_HUMAN
T96060015806	MARHA_HUMAN
T96060015807	MARHB_HUMAN
T96060015808	MARHB_HUMAN
T96060015809	MARHB_HUMAN
T96060015810	MAS1L_HUMAN
T96060015811	MAS1L_HUMAN
T96060015812	MAST1_HUMAN
T96060015813	MAST1_HUMAN
T96060015814	MAST1_HUMAN
T96060015815	MAST2_HUMAN
T96060015816	MAST2_HUMAN
T96060015817	MAST3_HUMAN
T96060015818	MAST3_HUMAN
T96060015819	MAST3_HUMAN
T96060015820	MAST4_HUMAN
T96060015821	MAST4_HUMAN
T96060015822	MAST4_HUMAN
T96060015823	MASTR_HUMAN
T96060015824	MASTR_HUMAN
T96060015825	MASTR_HUMAN
T96060015826	MASU1_HUMAN
T96060015827	MATK_HUMAN
T96060015828	MATK_HUMAN
T96060015829	MATK_HUMAN
T96060015830	MATN1_HUMAN
T96060015831	MATN1_HUMAN
T96060015832	MATN1_HUMAN
T96060015833	MATN2_HUMAN
T96060015834	MATN3_HUMAN
T96060015835	MATN3_HUMAN
T96060015836	MATN3_HUMAN
T96060015837	MATN4_HUMAN
T96060015838	MATN4_HUMAN
T96060015839	MATN4_HUMAN
T96060015840	MAZ_HUMAN
T96060015841	MB211_HUMAN
T96060015842	MB211_HUMAN
T96060015843	MB211_HUMAN
T96060015844	MB212_HUMAN
T96060015845	MB213_HUMAN
T96060015846	MB213_HUMAN
T96060015847	MB213_HUMAN
T96060015848	MB214_HUMAN
T96060015849	MB214_HUMAN
T96060015850	MB214_HUMAN
T96060015851	MB3L1_HUMAN
T96060015852	MB3L1_HUMAN
T96060015853	MB3L1_HUMAN
T96060015854	MB3L2_HUMAN
T96060015855	MB3L2_HUMAN
T96060015856	MB3L2_HUMAN
T96060015857	MB3L3_HUMAN
T96060015858	MB3L3_HUMAN
T96060015859	MB3L3_HUMAN
T96060015860	MB3L4_HUMAN
T96060015861	MB3L4_HUMAN
T96060015862	MB3L4_HUMAN
T96060015863	MB3L5_HUMAN
T96060015864	MB3L5_HUMAN
T96060015865	MB3L5_HUMAN
T96060015866	MB3LB_HUMAN
T96060015867	MB3LB_HUMAN
T96060015868	MB3LB_HUMAN
T96060015869	MBD1_HUMAN
T96060015870	MBD1_HUMAN
T96060015871	MBD4_HUMAN
T96060015872	MBD6_HUMAN
T96060015873	MBLC1_HUMAN
T96060015874	MBLC1_HUMAN
T96060015875	MBLC1_HUMAN
T96060015876	MBLC2_HUMAN
T96060015877	MBLC2_HUMAN
T96060015878	MBNL3_HUMAN
T96060015879	MBOA1_HUMAN
T96060015880	MBOA1_HUMAN
T96060015881	MBOA1_HUMAN
T96060015882	MBOA2_HUMAN
T96060015883	MBOA2_HUMAN
T96060015884	MBOA2_HUMAN
T96060015885	MBOA4_HUMAN
T96060015886	MBOA5_HUMAN
T96060015887	MBOA7_HUMAN
T96060015888	MBOA7_HUMAN
T96060015889	MBPHL_HUMAN
T96060015890	MBPHL_HUMAN
T96060015891	MBPHL_HUMAN
T96060015892	MBRL_HUMAN
T96060015893	MBRL_HUMAN
T96060015894	MBRL_HUMAN
T96060015895	MBTD1_HUMAN
T96060015896	MBTD1_HUMAN
T96060015897	MBTP1_HUMAN
T96060015898	MC3R_HUMAN
T96060015899	MC4R_HUMAN
T96060015900	MC5R_HUMAN
T96060015901	MC5R_HUMAN
T96060015902	MCA3_HUMAN
T96060015903	MCAF1_HUMAN
T96060015904	MCAF2_HUMAN
T96060015905	MCAF2_HUMAN
T96060015906	MCAF2_HUMAN
T96060015907	MCAT_HUMAN
T96060015908	MCCA_HUMAN
T96060015909	MCCA_HUMAN
T96060015910	MCCB_HUMAN
T96060015911	MCCB_HUMAN
T96060015912	MCCD1_HUMAN
T96060015913	MCCD1_HUMAN
T96060015914	MCCD1_HUMAN
T96060015915	MCE1_HUMAN
T96060015916	MCEE_HUMAN
T96060015917	MCEM1_HUMAN
T96060015918	MCEM1_HUMAN
T96060015919	MCEM1_HUMAN
T96060015920	MCF2_HUMAN
T96060015921	MCF2_HUMAN
T96060015922	MCF2_HUMAN
T96060015923	MCFD2_HUMAN
T96060015924	MCFD2_HUMAN
T96060015925	MCFD2_HUMAN
T96060015926	MCHL1_HUMAN
T96060015927	MCHL1_HUMAN
T96060015928	MCHL1_HUMAN
T96060015929	MCHL2_HUMAN
T96060015930	MCHL2_HUMAN
T96060015931	MCHL2_HUMAN
T96060015932	MCHR1_HUMAN
T96060015933	MCHR1_HUMAN
T96060015934	MCHR1_HUMAN
T96060015935	MCHR2_HUMAN
T96060015936	MCHR2_HUMAN
T96060015937	MCHR2_HUMAN
T96060015938	MCH_HUMAN
T96060015939	MCH_HUMAN
T96060015940	MCH_HUMAN
T96060015941	MCLN2_HUMAN
T96060015942	MCLN2_HUMAN
T96060015943	MCLN2_HUMAN
T96060015944	MCLN3_HUMAN
T96060015945	MCLN3_HUMAN
T96060015946	MCLN3_HUMAN
T96060015947	MCM2_HUMAN
T96060015948	MCM3_HUMAN
T96060015949	MCM3_HUMAN
T96060015950	MCM4_HUMAN
T96060015951	MCM4_HUMAN
T96060015952	MCM5_HUMAN
T96060015953	MCM5_HUMAN
T96060015954	MCM6_HUMAN
T96060015955	MCM7_HUMAN
T96060015956	MCMD2_HUMAN
T96060015957	MCMD2_HUMAN
T96060015958	MCMD2_HUMAN
T96060015959	MCPH1_HUMAN
T96060015960	MCRI1_HUMAN
T96060015961	MCRI2_HUMAN
T96060015962	MCRI2_HUMAN
T96060015963	MCR_HUMAN
T96060015964	MCR_HUMAN
T96060015965	MCSP_HUMAN
T96060015966	MCSP_HUMAN
T96060015967	MCSP_HUMAN
T96060015968	MCTP1_HUMAN
T96060015969	MCTP2_HUMAN
T96060015970	MCTS1_HUMAN
T96060015971	MCUB_HUMAN
T96060015972	MCUB_HUMAN
T96060015973	MCUR1_HUMAN
T96060015974	MD12L_HUMAN
T96060015975	MD12L_HUMAN
T96060015976	MD12L_HUMAN
T96060015977	MD13L_HUMAN
T96060015978	MD13L_HUMAN
T96060015979	MD13L_HUMAN
T96060015980	MD2BP_HUMAN
T96060015981	MDC1_HUMAN
T96060015982	MDFI2_HUMAN
T96060015983	MDFI2_HUMAN
T96060015984	MDFI2_HUMAN
T96060015985	MDFI_HUMAN
T96060015986	MDFI_HUMAN
T96060015987	MDGA1_HUMAN
T96060015988	MDGA2_HUMAN
T96060015989	MDGA2_HUMAN
T96060015990	MDGA2_HUMAN
T96060015991	MDH1B_HUMAN
T96060015992	MDH1B_HUMAN
T96060015993	MDH1B_HUMAN
T96060015994	MDHC_HUMAN
T96060015995	MDHC_HUMAN
T96060015996	MDN1_HUMAN
T96060015997	MDN1_HUMAN
T96060015998	MDS2_HUMAN
T96060015999	MDS2_HUMAN
T96060016000	ME15P_HUMAN
T96060016001	ME15P_HUMAN
T96060016002	ME15P_HUMAN
T96060016003	ME3L1_HUMAN
T96060016004	ME3L1_HUMAN
T96060016005	ME3L1_HUMAN
T96060016006	ME3L2_HUMAN
T96060016007	ME3L2_HUMAN
T96060016008	ME3L2_HUMAN
T96060016009	MEA1_HUMAN
T96060016010	MEA1_HUMAN
T96060016011	MEA1_HUMAN
T96060016012	MED10_HUMAN
T96060016013	MED10_HUMAN
T96060016014	MED11_HUMAN
T96060016015	MED11_HUMAN
T96060016016	MED15_HUMAN
T96060016017	MED15_HUMAN
T96060016018	MED18_HUMAN
T96060016019	MED18_HUMAN
